,background radiations,background radiations,E11t,E11g,E12t,E12g,E13t,E13g,E21t,E21g,E22t,E22g,E23t,E23g,E31t,E31g,E32t,E32g,E33t,E33g,E34t,E34g,E35t,E35g,E36t,E36g,E37t,E37g,E38t,E38g,E39t,E39g,E310t,E310g,E311t,E311g,E312t,E312g,E313t,E313g,E314t,E314g,E315t,E315g,E316t,E316g,E317t,E317g,E318t,E318g,E319t,E319g,E320t,E320g,E41t,E41g,E42t,E42g,E43t,E43g,E44t,E44g,E45t,E45g
,10.600,0,10.600,5,10.600,3,10.600,4,108.000,31,108.000,20,108.000,19,5.300,3,5.300,1,5.300,1,5.300,3,5.300,1,5.300,2,5.300,1,5.300,3,5.300,3,5.300,0,5.300,0,5.300,0,5.300,2,5.300,1,5.300,0,5.300,1,5.300,1,5.300,1,5.300,2,5.300,0,108.000,5,108.000,4,108.000,5,108.000,6,108.000,9
,10.800,0,10.800,2,10.800,3,10.800,2,110.000,20,110.000,31,110.000,22,5.400,1,5.400,2,5.400,0,5.400,0,5.400,0,5.400,2,5.400,3,5.400,4,5.400,0,5.400,2,5.400,2,5.400,0,5.400,1,5.400,0,5.400,0,5.400,1,5.400,0,5.400,0,5.400,2,5.400,2,110.000,5,110.000,4,110.000,9,110.000,4,110.000,7
,11.000,0,11.000,1,11.000,8,11.000,3,112.000,24,112.000,23,112.000,21,5.500,0,5.500,1,5.500,1,5.500,3,5.500,2,5.500,0,5.500,1,5.500,0,5.500,1,5.500,2,5.500,1,5.500,1,5.500,2,5.500,1,5.500,0,5.500,2,5.500,0,5.500,0,5.500,1,5.500,1,112.000,3,112.000,8,112.000,10,112.000,6,112.000,5
,11.200,0,11.200,0,11.200,3,11.200,1,114.000,23,114.000,23,114.000,26,5.600,0,5.600,0,5.600,2,5.600,1,5.600,0,5.600,1,5.600,4,5.600,3,5.600,0,5.600,1,5.600,0,5.600,0,5.600,2,5.600,1,5.600,0,5.600,0,5.600,2,5.600,1,5.600,2,5.600,0,114.000,11,114.000,8,114.000,5,114.000,2,114.000,9
,11.400,0,11.400,2,11.400,2,11.400,0,116.000,26,116.000,23,116.000,27,5.700,1,5.700,2,5.700,1,5.700,2,5.700,0,5.700,0,5.700,0,5.700,1,5.700,2,5.700,0,5.700,0,5.700,1,5.700,2,5.700,0,5.700,2,5.700,2,5.700,3,5.700,1,5.700,2,5.700,1,116.000,5,116.000,3,116.000,3,116.000,8,116.000,5
,11.600,0,11.600,0,11.600,1,11.600,0,118.000,22,118.000,19,118.000,22,5.800,0,5.800,2,5.800,1,5.800,2,5.800,1,5.800,2,5.800,1,5.800,1,5.800,0,5.800,2,5.800,3,5.800,1,5.800,2,5.800,1,5.800,0,5.800,3,5.800,3,5.800,0,5.800,1,5.800,0,118.000,8,118.000,7,118.000,7,118.000,5,118.000,2
,11.800,0,11.800,1,11.800,2,11.800,2,120.000,28,120.000,29,120.000,17,5.900,0,5.900,0,5.900,0,5.900,3,5.900,1,5.900,2,5.900,2,5.900,0,5.900,3,5.900,0,5.900,0,5.900,1,5.900,0,5.900,1,5.900,0,5.900,0,5.900,3,5.900,4,5.900,5,5.900,2,120.000,3,120.000,9,120.000,6,120.000,7,120.000,7
,12.000,0,12.000,3,12.000,1,12.000,2,122.000,21,122.000,24,122.000,23,6.000,1,6.000,1,6.000,1,6.000,1,6.000,2,6.000,1,6.000,1,6.000,4,6.000,2,6.000,2,6.000,2,6.000,3,6.000,3,6.000,2,6.000,0,6.000,1,6.000,1,6.000,3,6.000,0,6.000,3,122.000,2,122.000,7,122.000,4,122.000,5,122.000,8
,12.200,0,12.200,1,12.200,0,12.200,1,124.000,21,124.000,20,124.000,14,6.100,2,6.100,0,6.100,3,6.100,0,6.100,0,6.100,2,6.100,1,6.100,1,6.100,1,6.100,2,6.100,0,6.100,1,6.100,1,6.100,0,6.100,0,6.100,1,6.100,2,6.100,0,6.100,2,6.100,0,124.000,5,124.000,1,124.000,3,124.000,9,124.000,7
,12.400,0,12.400,0,12.400,2,12.400,2,126.000,21,126.000,23,126.000,20,6.200,1,6.200,2,6.200,1,6.200,1,6.200,0,6.200,2,6.200,0,6.200,5,6.200,3,6.200,1,6.200,3,6.200,1,6.200,1,6.200,2,6.200,0,6.200,3,6.200,2,6.200,1,6.200,1,6.200,1,126.000,4,126.000,6,126.000,9,126.000,5,126.000,9
